area_id,area_name,governorate,wilayat,latitude,longitude,population,workforce,startups_count,total_businesses,business_competitors,cafe_competitors,restaurant_competitors,bakery_competitors,abaya_competitors,clothes_competitors,perfume_competitors,salon_competitors,grocery_competitors,flower_competitors,pharmacy_competitors,bank_competitors,electronics_competitors,complementary_pois,data_source_notes
ad_dakhliyah_adam,Adam,Ad Dakhliyah,Adam,22.386514,57.5249708,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_wusta_al_jazer,Al_jazer,Al Wusta,Al_jazer,18.5801947,56.5852292,54796,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_south_al_awabi,Al-Awabi,Al Batinah South,Al-Awabi,23.3078432,57.536292,998239,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_buraymi_al_buraimi,Al-Buraimi,Al Buraymi,Al-Buraimi,24.2815207,55.8245558,154406,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_wusta_al_duqm,Al-Duqm,Al Wusta,Al-Duqm,19.6394818,57.6779106,54796,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
muscat_al_hajer,Al-hajer,Muscat,Al-hajer,23.511126,58.451582,1532486,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_al_hamra,Al-Hamra,Ad Dakhliyah,Al-Hamra,23.1025508,57.2875097,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_south_al_kamil_and_al_wafi,Al-Kamil And Al-Wafi,Ash Sharqiyah South,Al-Kamil And Al-Wafi,22.2096469,59.2132871,641112,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_al_khabura,Al-Khabura,Al Batinah North,Al-Khabura,23.9628375,57.095682,1218140,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_al_mazyona,AL-MAZYONA,Dhofar,AL-MAZYONA,17.8399687,52.6573508,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_north_al_mudhaibi,Al-Mudhaibi,Ash Sharqiyah North,Al-Mudhaibi,22.5731722,58.1266614,432442,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_south_al_musanna,Al-Musanna,Al Batinah South,Al-Musanna,23.7474253,57.632572,998239,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_north_al_qabil,Al-Qabil,Ash Sharqiyah North,Al-Qabil,22.6036569,58.1807494,432442,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_south_al_rustaq,Al-Rustaq,Al Batinah South,Al-Rustaq,23.4425277,57.4344451,998239,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
muscat_al_seeb,Al-Seeb,Muscat,Al-Seeb,23.6473237,58.1458246,1532486,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_al_suwaiq,Al-Suwaiq,Al Batinah North,Al-Suwaiq,23.8262343,57.4287899,1218140,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_buraymi_as_sunaynah,As Sunaynah,Al Buraymi,As Sunaynah,23.6198936,55.9692754,154406,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_bahla,Bahla,Ad Dakhliyah,Bahla,22.9510175,57.2931571,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_south_barka,Barka,Al Batinah South,Barka,23.6837432,57.9048938,998239,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_bid_bid,Bid Bid,Ad Dakhliyah,Bid Bid,23.4069561,58.1252383,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_north_bidiya,Bidiya,Ash Sharqiyah North,Bidiya,22.4428429,58.8003292,432442,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
muscat_bousher,Bousher,Muscat,Bousher,23.5651914,58.4201892,1532486,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
musandam_bukha,Bukha,Musandam,Bukha,26.1407713,56.1532893,73218,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
musandam_daba_al_biya,Daba Al-Biya,Musandam,Daba Al-Biya,25.6365398,56.2538153,73218,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_dalqut,Dalqut,Dhofar,Dalqut,16.7117717,53.1857395,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
adh_dhahirah_dhank,Dhank,Adh Dhahirah,Dhank,23.5451853,56.2594033,360842,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_north_dima_and_tayin,Dima And Tayin,Ash Sharqiyah North,Dima And Tayin,23.0026623,58.5086818,432442,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_wusta_haima,Haima,Al Wusta,Haima,19.955811,56.268059,54796,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_north_ibra,Ibra,Ash Sharqiyah North,Ibra,22.7244454,58.5258173,432442,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
adh_dhahirah_ibri,Ibri,Adh Dhahirah,Ibri,23.2359238,56.4943984,360842,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_izki,Izki,Ad Dakhliyah,Izki,22.9329006,57.7686461,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_south_jalan_bani_bu_ali,Jalan Bani Bu Ali,Ash Sharqiyah South,Jalan Bani Bu Ali,22.0177073,59.3454978,641112,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_south_jalan_bani_bu_hassan,Jalan Bani Bu Hassan,Ash Sharqiyah South,Jalan Bani Bu Hassan,22.0890702,59.2765008,641112,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
musandam_khasab,Khasab,Musandam,Khasab,26.1644384,56.2426404,73218,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_liwa,Liwa,Al Batinah North,Liwa,24.5068401,56.5952891,1218140,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
musandam_madha,Madha,Musandam,Madha,25.2919613,56.3320773,73218,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_buraymi_mahadha,Mahadha,Al Buraymi,Mahadha,24.4054184,55.963705,154406,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_wusta_mahoot,Mahoot,Al Wusta,Mahoot,19.9571078,56.2756846,54796,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_manah,Manah,Ad Dakhliyah,Manah,22.7926568,57.5929166,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_south_masirah,Masirah,Ash Sharqiyah South,Masirah,20.3173398,58.6915912,641112,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_mirbat,Mirbat,Dhofar,Mirbat,16.9930697,54.7027669,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_muqshin,Muqshin,Dhofar,Muqshin,19.565176,54.8907353,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
muscat_muscat,Muscat,Muscat,Muscat,23.5880462,58.3828798,1532486,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
muscat_muttrah,Muttrah,Muscat,Muttrah,23.617276,58.557239,1532486,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_south_nakhal,Nakhal,Al Batinah South,Nakhal,23.3942423,57.8197188,998239,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_nizwa,Nizwa,Ad Dakhliyah,Nizwa,22.9171031,57.536292,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
muscat_quriyat,Quriyat,Muscat,Quriyat,23.2651575,58.9034363,1532486,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_rakhyut,Rakhyut,Dhofar,Rakhyut,16.7489979,53.4216562,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_saham,Saham,Al Batinah North,Saham,24.1539162,56.8648473,1218140,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_salalah,Salalah,Dhofar,Salalah,17.0193843,54.1107505,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_shalimealhallaniyahislnd,Shalimealhallaniyahislnd,Dhofar,Shalimealhallaniyahislnd,18.1017332,55.6430503,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_shinas,Shinas,Al Batinah North,Shinas,24.7242467,56.4607919,1218140,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_north_sohar,Sohar,Al Batinah North,Sohar,24.3500672,56.7133258,1218140,,5,142,115,11,37,1,0,2,4,1,34,1,4,9,2,142,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. OpenStreetMap POIs used as primary source for Sohar.
dhofar_sudh,Sudh,Dhofar,Sudh,17.0559323,55.0672551,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ad_dakhliyah_sumail,Sumail,Ad Dakhliyah,Sumail,23.2968896,57.973082,821630,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_south_sur,Sur,Ash Sharqiyah South,Sur,22.5652759,59.5066376,641112,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_taqah,Taqah,Dhofar,Taqah,17.0552467,54.379516,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
dhofar_thumarait,Thumarait,Dhofar,Thumarait,17.6513361,54.0303343,488648,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
ash_sharqiyah_north_wadi_bani_khalid,Wadi Bani Khalid,Ash Sharqiyah North,Wadi Bani Khalid,22.5999838,59.0869565,432442,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
al_batinah_south_wadi_maawil,Wadi Maawil,Al Batinah South,Wadi Maawil,23.4749882,57.8354279,998239,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
adh_dhahirah_yanqul,Yanqul,Adh Dhahirah,Yanqul,23.5989926,56.5448304,360842,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Governorate-level indicator used due to unavailable wilayat-level data. Workforce left null because labour_market.xlsx does not provide matchable wilayat-level workforce. POI columns prepared for future wilayat-level OSM fetches.
